"EAN NR.";"NSH Varenr.";"DB NR.";"Varebetegnelse DK";"Varebetegnelse SE";"Varebetegnelse FI";"Varebetegnelse UK"
"5705858066660";"540-056";"";"Terrasseoverdækning Feria 17,9 m2, antracitgrå Palram - Canopia";"Terrasstak Feria 17,9 m2, antracitgrå Palram - Canopia";"Terassikatos Feria 17,9 m2, antrasiitti Palram - Canopia";"Patio cover Feria 17.9 m2, anthracit grey Palram - Canopia"
"5705858066677";"540-057";"";"Terrasseoverdækning Feria 21,5 m2, hvid Palram - Canopia";"Terrasstak Feria 21,5 m2, vit Palram - Canopia";"Terassikatos-set Feria 21,5 m2, valkoinen Palram - Canopia";"Patio cover Feria 21.5 m2, white Palram - Canopia"
"5705858066684";"540-058";"";"Terrasseoverdækning Feria 21,5 m2, antracitgrå Palram - Canopia";"Terrasstak Feria 21,5 m2, antracitgrå Palram - Canopia";"Terassikatos Feria 21,5 m2, antrasiitti Palram - Canopia";"Patio cover Feria 21.5 m2, anthracit grey Palram - Canopia"
"5705858066691";"540-059";"";"Terrasseoverdækning Feria 25,0 m2, hvid Palram - Canopia";"Terrasstak Feria 25,0 m2, vit Palram - Canopia";"Terassikatos-set Feria 25,0 m2, valkoinen Palram - Canopia";"Patio cover Feria 25.0 m2, white Palram - Canopia"
"5705858066707";"540-060";"";"Terrasseoverdækning Feria 25,0 m2, antracitgrå Palram - Canopia";"Terrasstak Feria 25,0 m2, antracitgrå Palram - Canopia";"Terassikatos Feria 25,0 m2, antrasiitti Palram - Canopia";"Patio cover Feria 25.0 m2, anthracit grey Palram - Canopia"
"5705858066714";"540-061";"";"Terrasseoverdækning Feria 28,5 m2, hvid Palram - Canopia";"Terrasstak Feria 28,5 m2, vit Palram - Canopia";"Terassikatos-set Feria 28,5 m2, valkoinen Palram - Canopia";"Patio cover Feria 28.5 m2, white Palram - Canopia"
"5705858066721";"540-062";"";"Terrasseoverdækning Feria 28,5 m2, antracitgrå Palram - Canopia";"Terrasstak Feria 28,5 m2, antracitgrå Palram - Canopia";"Terassikatos Feria 28,5 m2, antrasiitti Palram - Canopia";"Patio cover Feria 28.5 m2, anthracite grey Palram - Canopia"
"5705858066745";"540-064";"";"Terrasseoverdækning Feria 30,4 m2, antracitgrå Palram - Canopia";"Terrasstak Feria 30,4 m2, antracitgrå Palram - Canopia";"Terassikatos Feria 30,4 m2, antrasiitti Palram - Canopia";"Patio cover Feria 30.4 m2, anthracite grey Palram - Canopia"
"7290103121914";"540-065";"";"Orangeri VICTORY 11 m2 Palram - Canopia";"Orangeri VICTORY Växthus11 m2 Palram - Canopia";"Viherhuone VICTORY 11,04 m2, harmaa Palram - Canopia";"Orangery VICTORY 11 m2 Palram - Canopia"
"7290108137262";"540-066";"";"Myggenet til havepavillon Martinique 5000 Palram - Canopia";"Myggnät till trädgårdspaviljong Martinique 5000 Palram - Canopia";"Hyttysverkko Martinique 5000 paviljonkiin Palram - Canopia";"Mosquito net for Martinique 5000 garden gazebo, rectangular Palram - Canopia"
"7290108137255";"540-067";"";"Gardinsæt til havepavillon Martinique 5000 Palram - Canopia";"gardinset till trädgårdspaviljong Martinique 5000 Palram - Canopia";"Verhosetti Martinique 5000 paviljonkiin Palram - Canopia";"Curtain set for Martinique 5000 garden gazebo Palram - Canopia"
"7290103111519";"540-069";"";"Kraftig hyldekit til drivhus Palram - Canopia";"Robust hyllkit till växthus Palram - Canopia";"Vahva hyllysarja kasvihuoneeseen Palram - Canopia";"Robust shelf kit for greenhouse Palram - Canopia"
"7290103121426";"540-070";"";"Drypvandingskit til drivhus Palram - Canopia";"Droppbevattningskit till växthus Palram - Canopia";"Kastelujärjestelmä kasvihuoneeseen Palram - Canopia";"Drip irrigation kit for greenhouse Palram - Canopia"
"7290103121365";"540-071";"";"Opbindningskit Pro til drivhus Palram - Canopia";"Uppbindningskit Pro till växthus Palram - Canopia";"Tukilankasetti Pro kasvihuoneeseen Palram - Canopia";"Trellising kit Pro for greenhouse Palram - Canopia"
"7290108133875";"540-073";"";"Lyskit til Palram - Canopia produkter";"Belysningskit till Palram - Canopia produkter";"Valosarja Palram - Canopia tuotteisiin";"Lighting kit for Palram - Canopia products"
"7290108601381";"540-075";"";"LED lysbånd m/fjernbetjening kontrol dæmper Palram - Canopia";"LED ljuslist m/fjärrkontrolldimmer Palram - Canopia";"LED -valosarja kaukosäädöllä ja himmentimellä Palram - Canopia";"LED light strip w/remote dimmer controller Palram - Canopia"
"7290108137217";"540-076";"";"Feria sidevæg 3, antracitgrå Palram - Canopia";"Feria sidvägg 3, antracitgrå Palram - Canopia";"Feria sivuseinä 3, antrasiitti Palram - Canopia";"Feria sidewall 3, anthracite grey Palram - Canopia"
"7290103122638";"540-080";"";"Terrasseoverdækning Feria 26,9 m2, hvid Palram - Canopia";"Terrasstak Feria 26,9 m², vit Palram – Canopia";"Terassikatos Feria 26,9 m2, valkoinen Palram - Canopia";"Patio cover Feria 26,9 m2, white Palram - Canopia"
"7290103122805";"540-081";"";"Terrasseoverdækning Feria 26,9 m2, antracit Palram - Canopia";"Terrasstak Feria 26,9 m², antracit Palram – Canopia";"Terassikatos Feria 26,9 m2, antrasiitti Palram - Canopia";"Patio cover Feria 26,9 m2, anthracite Palram - Canopia"
"7290010027262";"540-084";"";"Skyggekit til drivhus Palram - Canopia";"Skuggkit till växthus Palram - Canopia";"Varjostussarja kasvihuoneeseen Palram - Canopia";"Shade kit for greenhouse Palram - Canopia"
"7290108137347";"540-085";"";"Dørbaldakin Nancy 2050 Palram - Canopia";"Entrétak Nancy 2050 Palram - Canopia";"Ovikatos Nancy 2050 Palram - Canopia";"Door awning Nancy 2050 Palram - Canopia"
"7290108610376";"540-087";"";"Orangeri Triomphe 17 m2 antracitgrå Palram - Canopia";"Orangeri Triomphe 17 m² antracitgrå Palram - Canopia";"Viherhuone Triomphe 17 m2 antrasiitinharmaa Palram - Canopia";"Orangery Triomphe 17 m2 anthracit grey Palram - Canopia"
"7290103123635";"540-092";"";"Jordankersæt Palram - Canopia";"Jordankarset Palram - Canopia";"Maahan kiinnitys-/ankkurisetti Palram - Canopia";"Anchoring kit Palram - Canopia"
"7290010027941";"540-093";"";"Automatisk vindueåbner til drivhus Palram - Canopia";"Automatisk fönsteröppnare till växthus Palram - Canopia";"Tuuletusluukku kasvihuoneeseen Palram - Canopia";"Automatic vent opener for greenhouse Palram - Canopia"
"7290108133714";"540-094";"";"Gardinsæt til Martinique 4300 & Milano 4300 rektangulær havepavillon Palram - Canopia";"Gardinset till Martinique 4300 & Milano 4300 rektangulär trädgårdspaviljong Palram - Canopia";"Verhosetti puutarhapaviljonkiin, sopivuus Martinique 4300 & Milano 4300 Palram - Canopia";"Curtain set for Martinique 4300 & Milano 4300 rectangular garden gazebo Palram - Canopia"
"7290108134483";"540-095";"";"Myggenet til Martinique 4300 & Milano 4300 rektangulær havepavillon Palram - Canopia";"Myggnät till Martinique 4300 & Milano 4300 rektangulär trädgårdspaviljong Palram - Canopia";"Hyttysverkko puutarhapaviljonkiin, sopivuus Martinique 4300 & Milano 4300 Palram - Canopia";"Mosquito net for Martinique 4300 & Milano 4300 rectangular garden gazebo Palram - Canopia"
"7290108136531";"540-098";"";"Pavillon lukket Ledro 3600, antracitgrå Palram - Canopia";"Stängd trädgårdspaviljong Ledro 3600, antracitgrå Palram - Canopia";"Suljettu puutarhapaviljonki Ledro 3600, antrasiitti Palram - Canopia";"Gazebo closed garden gazebo Ledro 3600, anthracit grey Palram - Canopia"
"7290108138108";"540-101";"";"Pavillon Palermo 3000 lukkesystem Palram - Canopia";"Paviljong Palermo 3000 stängningssystem Palram - Canopia";"Paviljonki Palermo 3000 seinä/ovisarja Palram - Canopia";"Gazebo Palermo 3000 closing system Palram - Canopia"
"7290108138115";"540-103";"";"Pavillon Palermo 3600 lukkesystem Palram - Canopia";"Paviljong Palermo 3600 stängningssystem Palram - Canopia";"Paviljonki Palermo 3600 seinä/ovisarja Palram - Canopia";"Gazebo Palermo 3600 closing system Palram - Canopia"
"7290108137927";"540-108";"";"Dørbaldakin NEO 1180 Palram - Canopia";"Entrétak NEO 1180 entrétak Palram - Canopia";"Ovikatos NEO 1180 Palram - Canopia";"Door cover NEO 1180 Palram - Canopia"
"5705858707747";"540-109";"";"Dørbaldakin NEO 2360 Palram - Canopia";"Entrétak NEO 2360 entrétak Palram - Canopia";"Ovikatos NEO 2360 Palram - Canopia";"Door cover NEO 2360 Palram - Canopia"
"5705858707754";"540-110";"";"Dørbaldakin NEO 3540 Palram - Canopia";"Entrétak NEO 3540 entrétak Palram - Canopia";"Ovikatos NEO 3540 Palram - Canopia";"Door cover NEO 3540 Palram - Canopia"
"7290108602166";"540-111";"";"Dørbaldakin Sophia 2150 Palram - Canopia";"Entrétak Sophia 2150 Palram - Canopia";"Ovikatos Sophia 2150 Palram - Canopia";"Door canopy Sophia 2150 Palram - Canopia"
"7290108131758";"540-112";"";"Dørbaldakin / terrasseoverdækning VEGA 2000 Palram - Canopia";"Entrétak/terrasstak VEGA 2000 Palram - Canopia";"Ovikatos VEGA 2000 Palram - Canopia";"Door / patio cover VEGA 2000 Palram - Canopia"
"7290108137910";"540-114";"";"Pavillon Martinique 3600, antracitgrå Palram - Canopia";"Paviljong Martinique 3600, antracitgrå Palram - Canopia";"Paviljonki Martinique 3600 Palram - Canopia";"Gazebo Martinique 3600, anthracite Palram - Canopia"
"7290108136555";"540-115";"";"Dørbaldakin Nancy 1500 Palram - Canopia";"Entrétak Nancy 1500 Palram - Canopia";"Ovikatos NANCY 1500 Palram - Canopia";"Door cover Nancy 1500 Palram - Canopia"
"7290108601480";"540-116";"";"Dørbaldakin Sophia 1600 Palram - Canopia";"Entrétak Sophia 1600 Palram - Canopia";"Ovikatos Sophia 1600 Palram - Canopia";"Door cover Sophia 1600 Palram - Canopia"
"7290108139839";"540-117";"";"Pavillon Dallas 4300, antracitgrå Palram - Canopia";"Trädgårdspaviljong Dallas 4300, antracitgrå Palram - Canopia";"Paviljonki Dallas 4300, antrasiittiharmaa Palram - Canopia";"Gazebo Dallas 4300, anthracite Palram - Canopia"
"7290108601053";"540-121";"";"Terrasseoverdækning Stockholm 3,4 x 3,7 m antracitgrå Palram - Canopia";"Terrasstak Stockholm 3,4 x 3,7 m antracitgrå Palram - Canopia";"Terassikatos Stockholm 3.4 x 3.7 m, antrasiitti Palram - Canopia";"Patio cover Stockholm 3.4 x 3.7 m, anthracite Palram - Canopia"
"7290108137095";"540-122";"";"Terrasseoverdækning Stockholm 3,4 x 5,2 m antracitgrå Palram - Canopia";"Terrasstak Stockholm 3,4 x 5,2 m antracitgrå Palram - Canopia";"Terassikatos Stockholm 3.4 x 5.2 m, antrasiitti Palram - Canopia";"Patio cover Stockholm 3.4 x 5.2 m, anthracite Palram - Canopia"
"5705858710341";"540-123";"";"Terrasseoverdækning Stockholm 3,4 x 5,9 m antracitgrå Palram - Canopia";"Terrasstak Stockholm 3,4 x 5,9 m antracitgrå Palram - Canopia";"Terassikatos Stockholm 3.4 x 5.9 m, antrasiitti Palram - Canopia";"Patio cover Stockholm 3.4 x 5.9 m, anthracite Palram - Canopia"
"5705858710358";"540-124";"";"Terrasseoverdækning Stockholm 3,4 x 6,6 m antracitgrå Palram - Canopia";"Terrasstak Stockholm 3,4 x 6,6 m antracitgrå Palram - Canopia";"Terassikatos Stockholm 3.4 x 6.6 m, antrasiitti Palram - Canopia";"Patio cover Stockholm 3.4 x 6.6 m, anthracite Palram - Canopia"
"5705858710365";"540-125";"";"Terrasseoverdækning Stockholm 3,4 x 7,4 m antracitgrå Palram - Canopia";"Terrasstak Stockholm 3,4 x 7,4 m antracitgrå Palram - Canopia";"Terassikatos Stockholm 3.4 x 7.4 m, antrasiitti Palram - Canopia";"Patio cover Stockholm 3.4 x 7.4 m, anthracite Palram - Canopia"
"5705858710372";"540-126";"";"Terrasseoverdækning Stockholm 3,4 x 8,1 m antracitgrå Palram - Canopia";"Terrasstak Stockholm 3,4 x 8,1 m antracitgrå Palram - Canopia";"Terassikatos Stockholm 3.4 x 8.1 m, antrasiitti Palram - Canopia";"Patio cover Stockholm 3.4 x 8.1 m, anthracite Palram - Canopia"
"7290108601244";"540-127";"";"Gardiner Stockholm til terrasseoverdækning 3,4 x 3,7 m Palram - Canopia";"Gardiner till terrasstak Stockholm 3,4 x 3,7 m Palram - Canopia";"Terassikatoksen verhosetti, Stockholm koko 3.4 x 3.7 m Palram - Canopia";"Curtain shades for patio cover Stockholm 3.4 x 3.7 m Palram - Canopia"
"7290108601237";"540-128";"";"Gardiner Stockholm til terrasseoverdækning 3,4 x 5,2 m Palram - Canopia";"Gardiner till terrasstak Stockholm 3,4 x 5,2 m Palram - Canopia";"Terassikatoksen verhosetti Stockholm, koko 3.4 x 5.2 m Palram - Canopia";"Curtain shades for patio cover Stockholm 3.4 x 5.2 m Palram - Canopia"
"7290108601268";"540-129";"";"Gardinsæt Stockholm forlængelse på 3,4 x 2,2 m Palram - Canopia";"Gardinsetförlängning Stockholm på 3,4 x 2,2 m Palram - Canopia";"Terassikatoksen verhosetin jatko-osa Stockholm, koko 3.4 x 2.2 m Palram - Canopia";"Curtain shades Stockholm extension set size 3.4 x 2.2 m Palram - Canopia"
"7290108601251";"540-130";"";"Gardinsæt Stockholm forlængelse på 3,4 x 2,9 m Palram - Canopia";"Gardinsetförlängning Stockholm på 3,4 x 2,9 m Palram - Canopia";"Terassikatoksen verhosetin jatko-osa Stockholm, koko 3.4 x 2.9 m Palram - Canopia";"Curtain shades Stockholm extension set size 3.4 x 2.9 m Palram - Canopia"
"5705858710600";"540-131";"";"Terrasseoverdækning Stockholm 3,4 x 3,7 m inkl. taggardiner Palram - Canopia";"Terrasstak Stockholm 3,4 x 3,7 m antracitgrå inkl. tak persienner Palram - Canopia";"Terassikatos Stockholm 3.4 x 3.7 m, antrasiitti Sis. Kattokaihtimet Palram - Canopia";"Patio cover Stockholm 3.4 x 3.7 m, anthracite incl. roof curtains Palram - Canopia"
"5705858710617";"540-132";"";"Terrasseoverdækning Stockholm 3,4 x 5,2 m inkl. taggardiner Palram - Canopia";"Terrasstak Stockholm 3,4 x 5,2 m antracitgrå inkl. tak persienner Palram - Canopia";"Terassikatos Stockholm 3.4 x 5.2 m, antrasiitti Sis. Kattokaihtimet Palram - Canopia";"Patio cover Stockholm 3.4 x 5.2 m, anthracite incl. roof curtains Palram - Canopia"
"5705858710624";"540-133";"";"Terrasseoverdækning Stockholm 3,4 x 5,9 m inkl. taggardiner Palram - Canopia";"Terrasstak Stockholm 3,4 x 5,9 m antracitgrå inkl. tak persienner Palram - Canopia";"Terassikatos Stockholm 3.4 x 5.9 m, antrasiitti Sis. Kattokaihtimet Palram - Canopia";"Patio cover Stockholm 3.4 x 5.9 m, anthracite incl. roof curtains Palram - Canopia"
"5705858710631";"540-134";"";"Terrasseoverdækning Stockholm 3,4 x 6,6 m inkl. taggardiner Palram - Canopia";"Terrasstak Stockholm 3,4 x 6,6 m antracitgrå inkl. tak persienner Palram - Canopia";"Terassikatos Stockholm 3.4 x 6.6 m, antrasiitti Sis. Kattokaihtimet Palram - Canopia";"Patio cover Stockholm 3.4 x 6.6 m, anthracite incl. roof curtains Palram - Canopia"
"5705858710648";"540-135";"";"Terrasseoverdækning Stockholm 3,4 x 7,4 m inkl. taggardiner Palram - Canopia";"Terrasstak Stockholm 3,4 x 7,4 m antracitgrå inkl. tak persienner Palram - Canopia";"Terassikatos Stockholm 3.4 x 7.4 m, antrasiitti Sis. Kattokaihtimet Palram - Canopia";"Patio cover Stockholm 3.4 x 7.4 m, anthracite incl. roof curtains Palram - Canopia"
"5705858710655";"540-136";"";"Terrasseoverdækning Stockholm 3,4 x 8,1 m inkl. taggardiner Palram - Canopia";"Terrasstak Stockholm 3,4 x 8,1 m antracitgrå inkl. tak persienner Palram - Canopia";"Terassikatos Stockholm 3.4 x 8.1 m, antrasiitti Sis. Kattokaihtimet Palram - Canopia";"Patio cover Stockholm 3.4 x 8.1 m, anthracite incl. roof curtains Palram - Canopia"
"7290108610239";"540-137";"";"Dørbaldakin Nancy 3000 Palram - Canopia";"Entrétak Nancy 3000 Palram - Canopia";"Ovikatos Nancy 3000 Palram - Canopia";"Door awning Nancy 3000 Palram - Canopia"
"7290108610246";"540-138";"";"Dørbaldakin Nancy 4100 Palram - Canopia";"Entrétak Nancy 4100 Palram - Canopia";"Ovikatos Nancy 4100 Palram - Canopia";"Door awning Nancy 4100 Palram - Canopia"
"7290108610253";"540-139";"";"Dørbaldakin Nancy 4500 Palram - Canopia";"Entrétak Nancy 4500 Palram - Canopia";"Ovikatos Nancy 4500 Palram - Canopia";"Door awning Nancy 4500 Palram - Canopia"
"7290108136258";"540-141";"";"Sidevæg Feria 4 meter, antracitgrå Palram - Canopia";"Sidvägg Feria 4 m, antracitgrå Palram - Canopia";"Sivuseivinåa Feria 4m antrasiitti Palram - Canopia";"Sidewall 4m anthracite Palram - Canopia"
"7290108134551";"540-142";"";"Terrasseoverdækning Feria 4 x 4,2 m, antracitgrå Palram - Canopia";"Terrasstak Feria 4 x 4,2 m, antracitgrå Palram - Canopia";"Terassikatos Feria 4x4,2 m, antrasiitti Palram - Canopia";"Patio cover Feria 4 x 4.2 m anthracite Palram - Canopia"
"7290103122713";"540-144";"";"Terrasseoverdækning Feria 4 x 6,06 m, hvid Palram - Canopia";"Terrasstak Feria 4 x 6,06 m, vit Palram - Canopia";"Terassikatos Feria 4x6,06 m, valkoinen Palram - Canopia";"Patio cover Feria 4 x 6.06, white Palram - Canopia"
"7290108134858";"540-145";"";"Terrasseoverdækning Feria 4 x 6,06 m, antracitgrå Palram - Canopia";"Terrasstak Feria 4 x 6,06 m, antracitgrå Palram - Canopia";"Terassikatos Feria 4x6,06 m, antrasiitti Palram - Canopia";"Patio cover Feria 4 x 6.06, anthracite Palram - Canopia"
"7290103111151";"540-147";"";"Drivhus lille med opbevaring Palram - Canopia";"Växthus liten med förvaring Palram - Canopia";"Pieni kasvihuone säilytystilalla Palram - Canopia";"Small greenhouse with storage Palram - Canopia"
"7290108139778";"540-149";"";"Skur SKYLIGHT PENT 2,1 m2 midnatsgrå Palram - Canopia";"Skjul SKYLIGHT PENT 2,1 m2 midnattsgrå Palram - Canopia";"Pihavaja SKYLIGHT PENT 2,1 m2 keskiyön harmaa Palram - Canopia";"Storage cabin SKYLIGHT PENT 2.1 m2 midnight grey Palram - Canopia"
"7290108139761";"540-150";"";"Skur SKYLIGHT 2,1 m2 midnatsgrå Palram - Canopia";"Skjul SKYLIGHT PENT 2,1 m2 midnattsgrå Palram - Canopia";"Vaja SKYLIGHT 2,1 m2 Keskiyön harmaa Palram - Canopia";"Shed SKYLIGHT 2.1 m2 midnight grey Palram - Canopia"
"7290108139709";"540-151";"";"Skur SKYLIGHT 2,8 m2 midnatsgrå Palram - Canopia";"Skjul SKYLIGHT PENT 2,8 m2 midnattsgrå Palram - Canopia";"Pihavaja SKYLIGHT 2,8 m2 keskiyön harmaa Palram - Canopia";"Shed SKYLIGHT 2.8 m2 midnight grey Palram - Canopia"
"7290108139716";"540-152";"";"Skur SKYLIGHT 4,2 m2 midnatsgrå Palram - Canopia";"Skjul SKYLIGHT 4,2 m2 midnattsgrå Palram - Canopia";"Vaja SKYLIGHT 4,2 m2 Keskiyön harmaa Palram - Canopia";"Shed SKYLIGHT 4.2 m2 midnight gray Palram - Canopia"
"7290108139747";"540-153";"";"Skur SKYLIGHT 7,0 m2 midnatsgrå Palram - Canopia";"Skjul SKYLIGHT 7,0 m2 midnattsgrå Palram - Canopia";"Vaja SKYLIGHT 7,0 m2 Keskiyön harmaa Palram - Canopia";"Shed SKYLIGHT 7.0 m2, midnight grey Palram - Canopia"
"7290108601206";"540-154";"";"Gardiner til Feria terrasseoverdækning 9 m2 (3 x 3,05 m) Palram - Canopia";"Gardiner till Feria terrasstak 9 m2 (3x3,05 m) Palram - Canopia";"Verhot Feria-terassikatokseen 9 m2 (3 x 3.05 m) Palram - Canopia";"Roof blinds for Feria patio cover 9 m2 (3 x 3.05 m) Palram - Canopia"
"7290108601213";"540-155";"";"Gardiner til Feria terrasseoverdækning 12,5 m2 (3 x 4,25 m) Palram - Canopia";"Gardiner till Feria terrasstak på 12,5 m2 (3 x 4,25 m) Palram - Canopia";"Verhot Feria-terassikatokseen 12,5 m2 (3 x 4,25 m) Palram - Canopia";"Roof blinds for Feria patio cover 12.5 m2 (3 x 4.25 m) Palram - Canopia"
"7290108601220";"540-156";"";"Gardiner til Feria terrasseoverdækning 16,1 m2 (3 x 5,46 m) Palram - Canopia";"Gardiner till Feria terrasstak 16,1 m2 (3 x 5,46 m) Palram - Canopia";"Verhot Feria-terassikatokseen 16,1 m2 (3 x 5,46 m) Palram - Canopia";"Roof blinds for Feria patio cover 16.1 m2 (3 x 5.46 m) Palram - Canopia"
"7290108138122";"540-157";"";"Cykelholder vertikal Palram - Canopia";"Cykelhållare vertikal Palram - Canopia";"Polkupyöräteline pystysuora Palram - Canopia";"Vertical bicycle hanger Palram - Canopia"
"7290108601930";"540-158";"";"Terrasseoverdækning Stockholm 3,4 x 9,5 m antracitgrå Palram - Canopia";"Terrasstak Palram - Canopia Stockholm 3,4 x 9,5 m antracitgrå";"Terassikatos Palram - Canopia Stockholm 3,4 x 9,5m, antrasiitti";"Patio cover Palram - Canopia Stockholm 3.4 x 9.5 m, anthracite"
"7290108130225";"540-160";"";"Opbevaringshylde Palram - Canopia";"Förvaringshylla Palram - Canopia";"Säilytyshylly Palram - Canopia";"Storage shelf Palram - Canopia"
"7290108602685";"540-162";"";"Myggenet passer til Dallas 4300 Palram - Canopia";"Myggnät passar till Dallas 4300 Palram - Canopia";"Hyttysverkko, Dallas 4300 Palram - Canopia";"Mosquito netting set for Dallas 4300 Palram - Canopia"
"7290108602708";"540-164";"";"Myggenet passer til Dallas 4900 Palram - Canopia";"Myggnät passar till Dallas 4900 Palram - Canopia";"Hyttysverkko, Dallas 4900 Palram - Canopia";"Mosquito netting set for Dallas 4900 Palram - Canopia"
"7290108133851";"540-170";"";"Pavillon Milano 3000 Palram - Canopia";"Paviljong Milano 3000 Palram - Canopia";"Paviljonki Milano 3000 Palram - Canopia";"Gazebo Milano 3000 Palram - Canopia"
"7290108136241";"540-171";"";"Pavillon Milano 4300 Palram - Canopia";"Paviljong Milano 4300 Palram - Canopia";"Paviljonki Milano 4300 Palram - Canopia";"Gazebo Milano 4300 Palram - Canopia"
"7290108603392";"540-173";"";"Skur Rubicon 2,8 m2 mørkegrå Palram - Canopia";"Skjul Rubicon 2,8 m2 mörkgrå Palram - Canopia";"Vaja Rubicon 2.8 m2 harmaa Palram - Canopia";"Shed Rubicon 2.8 m2 dark grey Palram - Canopia"
"7290108603408";"540-174";"";"Skur Rubicon 4,2 m2 mørkegrå Palram - Canopia";"Skjul Rubicon 4,2 m2 mörkgrå Palram - Canopia";"Vaja Rubicon 4.2 m2 harmaa Palram - Canopia";"Shed Rubicon 4.2 m2 dark grey Palram - Canopia"
"7290108603415";"540-175";"";"Skur Rubicon 5,6 m2 mørkegrå Palram - Canopia";"Skjul Rubicon 5,6 m2 mörkgrå Palram - Canopia";"Vaja Rubicon 5.6 m2 harmaa Palram - Canopia";"Shed Rubicon 5.6 m2 dark grey Palram - Canopia"
"7290108603422";"540-176";"";"Skur Rubicon 7,0 m2 mørkegrå Palram - Canopia";"Skjul Rubicon 7,0 m2 mörkgrå Palram - Canopia";"Vaja Rubicon 7.0 m2 harmaa Palram - Canopia";"Shed Rubicon 7.0 m2 dark grey Palram - Canopia"
"7290108610499";"540-177";"";"Skur Rubicon 5,4 m2 mørkegrå Palram - Canopia";"Skjul Rubicon 5,4 m2 mörkgrå Palram - Canopia";"Vaja Rubicon 5.4 m2 harmaa Palram - Canopia";"Shed Rubicon 5.4 m2 dark grey Palram - Canopia"
"7290108610505";"540-178";"";"Skur Rubicon 7,2 m2 mørkegrå Palram - Canopia";"Skjul Rubicon 7,2 m2 mörkgrå Palram - Canopia";"Vaja Rubicon 7.2 m2 harmaa Palram - Canopia";"Shed Rubicon 7.2 m2 dark grey Palram - Canopia"
"7290108610529";"540-180";"";"Hyldesæt til drivhus Palram - Canopia";"Hyllset till växthus Palram - Canopia";"Hyllysarja kasvihuoneeseen Palram - Canopia";"Shelf set for greenhouse Palram - Canopia"
"7290108130294";"540-181";"";"Terrasseoverdækning Sierra 3 x 3,14 m (9,3 m2), antracitgrå Palram - Canopia";"Terrasstak Sierra 3 x 3,14 m (9,3 m²), antracitgrå – Palram Canopia";"Terassikatos Sierra 3X3.14M (9.3 M2), antrasiitin harmaa Palram - Canopia";"Patio Cover Sierra 3X3.14M (9.3 M2), anthracite grey Palram - Canopia"
"7290108130270";"540-182";"";"Terrasseoverdækning Sierra 3 x 4,34 m (12,8 m2), antracitgrå Palram - Canopia";"Terrasstak Sierra 3 x 4,34 m (12,8 m²), antracitgrå – Palram Canopia";"Terassikatos Sierra 3X4.34M (12.8 M2), antrasiitin harmaa Palram - Canopia";"Patio Cover Sierra 3X4.34M (12.8 M2), anthracite grey Palram - Canopia"
"7290108130317";"540-183";"";"Terrasseoverdækning Sierra 3 x 5,55 m (16,4 m2), antracitgrå Palram - Canopia";"Terrasstak Sierra 3 x 5,55 m (16,4 m²), antracitgrå – Palram Canopia";"Terassikatos Sierra 3X5.55M (16.4 M2), antrasiitin harmaa Palram - Canopia";"Patio Cover Sierra 3X5.55M (16.4 M2), anthracite grey Palram - Canopia"
"7290108611236";"540-185";"";"Gardinsæt 4 stk. passer til Dallas pavillon 4,2 x 4,2 meter";"Gardiner, set om 4 st., passar Dallas-paviljong 4,2 x 4,2 meter";"Verhosetti, 4 verhoa, sopii 4,2 x 4,2 m Dallas -paviljonkiin";"Curtain set 4 pcs. compatible with Dallas gazebo 4.2 x 4.2 meters"
"7290108611243";"540-186";"";"Myggenet sæt af 4 stk. passer til Dallas pavillon 4,2 x 4,2 meter";"Myggnät, set med 4 st., passar Dallas-paviljong 4,2 x 4,2 meter";"Hyttysverkkosetti, 4 verhoa, sopii 4,2 x 4,2 m Dallas -paviljonkiin";"Mosquito net set with 4 pcs. compatible with Dallas gazebo 4.2 x 4.2 meters"
"7290108611250";"540-187";"";"Gardinsæt 4 stk. passer til Dallas pavillon 4,2 x 4,8 meter";"Gardiner, set om 4 st., passar Dallas-paviljong 4,2 x 4,8 meter";"Verhosetti, 4 verhoa, sopii 4,2 x 4,8 m Dallas -paviljonkiin";"Curtain set 4 pcs. compatible with Dallas gazebo 4.2 x 4.8 meters"
"7290108611267";"540-188";"";"Myggenet sæt af 4 stk. passer til Dallas pavillon 4,2 x 4,8 meter";"Myggnät, set med 4 st., passar Dallas-paviljong 4,2 x 4,8 meter";"Hyttysverkkosetti, 4 verhoa, sopii 4,2 x 4,8 m Dallas -paviljonkiin";"Mosquito net set with 4 pcs. compatible with Dallas gazebo 4.2 x 4.8 meters"
"7290108611274";"540-189";"";"Gardinsæt 4 stk. passer til Dallas pavillon 4,2 x 6 meter";"Gardiner, set om 4 st., passar Dallas-paviljong 4,2 x 6 meter";"Verhosetti, 4 verhoa, sopii 4,2 x 6 m Dallas -paviljonkiin";"Curtain set 4 pcs. compatible with Dallas gazebo 4.2 x 6 meters"
"7290108611281";"540-190";"";"Myggenet sæt af 4 stk. passer til Dallas pavillon 4,2 x 6 meter";"Myggnät, set med 4 st., passar Dallas-paviljong 4,2 x 6 meter";"Hyttysverkkosetti, 4 verhoa, sopii 4,2 x 6 m Dallas -paviljonkiin";"Mosquito net set with 4 pcs. compatible with Dallas gazebo 4.2 x 6 meters"
